Id,Text
"44880","@cy6erGn0m не мне тебе советовать(12 vs 5)... но подобные рекомендации к сокращению говнокода не приводят. Почти никогда. Единственный случай - это когда невыспавшийся, закрутившийся, замотавшийся профи постит рано утром код перед уходом на работу, а потом об этом забывает. Тогда когда он отдохнет, он взглянет на коммент, на свой код, последует совету и... о чудо!!! напишет все хорошо. Это не тот случай."
"70016","Да вы я погляжу тролль, зачем мне редактор аудио файлов ? я не собираюсь писать музыку.Меня интересует что там написано внутри. не могут же это быть хаотичные символы. В любом случае должна быть какая-то структура."
"77835",">ну скажем написать калькулятор (для десктопников) или там счетчик посещений (для веб девелоперов), ну в общем некую ерунду.

я бы добавил, написать грамотно, а не какой-то говнокод напечатать"
"82651","Нет, я преобразовывал чисто для теста. Но и без преобразования ерунда получается."
"173832","@Vladimir Gordeev, теперь я тебе расскажу про С++. stl и почти все абстракции в плюсах тормазят как ололо. Всем похрен на оптимизацию. Что за ""Коммьюнити"" и где ты такое откопал - я не знаю. Ну пиши на плюсах в Си-стайле, ибо Си более-менее нормальный человек осилит за неделю. В чем проблема? Или ты хочешь, чтобы за тебя написали интерпритатор и ты ваял говно, который интерпритатор на Си будет исполнять? От как у вас всё просто: Не осилил битовые операции - не нужны, не осилил оптимизацию - не нужны, не осилил кучу, типы, матчасть - не нужна. Как всё просто в вашем мире."
"177125","""Делфи сдохло..."", ""делфи говно..."", ""делфи -censured- у с++""...  
А-ха! Съели?  

----  

простите. не мог удержаться. 

----   

Если серьезно, то посмотрите дебаггер CP и посмотрите, как выполняются программы. Истина где-то там"
"191097","[гуглим!](http://lmgtfy.com/?q=android+log+example)"
"345385","@pyatak и много у тебя адресов в разных подсетях? при каком-то аврале я блочу подсеть.. но конечно вручную пока, но у меня есть точная логика, которую можно делать."
"348694","Для начала , сколько тебе лет ?"
"356986","Вы, видимо, вообще не знаете, что такое ViewPager..."
"363819","Вы издеваетесь, что ли. Вам сколько лет? Я это все уже на протяжении 10 лет знаю. Если вы такой знаток в ООП, то скажите, для чего, по-вашему, нужны модификаторы доступа? Метод setTXT приватный, то есть он видим только для Класса А. Так почему он вызывается в классе Б? Да и к тому же в Классе Б, вообще ничего не написано. Где логика, почему класс Б вообще запускается? Я вам тот же самый код щас на JAVA могу написать, там такого не будет."
"388138","Вас в гугле забанили?    
https://www.google.com.ua/webhp?sourceid=chrome-instant&ion=1&espv=2&es_th=1&ie=UTF-8#safe=off&q=android+edittext+text+change+listener"
"413423","Да, действительно"
"415946","Не в том месте и не с тем мериться письками пробуете. Мне это не интересно. Я автору дал информацию и вы дали. Какую он посчитает верной путь ту и использует. А все ваше советы, какой-то бред(в прошлом чушь:)) и еще особенно выражение ""....поле уникально идентифицирует клиента..."". Уникально идентифицирующее поле это поле используемое первичным ключом, уникальное не имеющее повторений значение. Сами то хоть читаете ? и причем тут группировка и уникальное идентифицирующее поле ? А лучший вариант написан в комментарии. И писал лишь рекомендацию основываясь не первом посте вопроса. Зная базу..."
"438373","И что снял засунь себе туда, чем ты слово ТРОЛЬ произнес."
"444575","@СергейБабич, не пойму, зачем такое может понадобиться. Т. е. даже если ты сможешь узнать, какие именно колбеки на данный момент создал модуль, любой из них может при своём выполнении создать ещё. Также, они могут быть вызваны несколько раз. Да и вообще, я не вижу возможности как-то использовать информацию о них."
"28186","Это жуткий код! Увольте нахрен того, кто это писал. И наймите вменяемых людей."
